complaint_id;resident_id;category_id;title;description;submission_date
1;101;1;Major water leak on Main Street;A large pipe has burst, flooding the road.;2020/01/15
2;102;2;Potholes on High Street;Several deep potholes are causing traffic issues.;2020/01/22
3;103;5;Faulty streetlight near park;The streetlight at the park entrance is not working.;2020/02/10
4;104;3;New housing application;Application for subsidized housing for a family of four.;2020/02/18
5;105;4;Missed garbage collection;The bin was not collected on the scheduled day.;2020/03/05
6;106;1;Minor leak in backyard;A small pipe is leaking in my garden.;2020/03/12
7;107;6;Annual check-up appointment;Scheduled visit for general health check-up.;2020/03/20
8;108;2;Pothole on residential road;A single pothole needs to be filled on Park Avenue.;2020/04/08
9;109;1;Recurring water leak;The same leak from last month has returned.;2020/04/15
10;110;2;Pothole near school crossing;A dangerous pothole near a pedestrian crossing.;2020/05/03
11;111;7;Overgrown grass in community park;The grass and weeds in the local park need cutting.;2020/05/18
12;112;8;Neighbor playing loud music;Loud music after 10 PM. By-law violation.;2020/06/02
13;113;9;Damaged book at library;A book on the new arrivals shelf is torn.;2020/06/14
14;114;1;Leak in public toilet;A toilet in the community center is leaking water.;2020/07/09
15;115;5;Streetlight out on corner;The streetlight at the intersection of Oak and Elm is out.;2020/07/22
16;116;4;Illegal dumping of refuse;Someone dumped trash on the side of the road.;2020/08/11
17;117;2;Pothole on motorway exit;A large pothole on the motorway exit ramp.;2020/08/25
18;118;1;Low water pressure in building;Water pressure has been consistently low for a week.;2020/09/12
19;119;6;Vaccination appointment for child;Scheduled a measles vaccination for my daughter.;2020/09/28
20;120;10;Loud construction work after hours;Construction is continuing after the allowed time.;2020/10/15
21;121;2;Multiple potholes on main road;The entire street needs resurfacing due to potholes.;2020/10/29
22;122;3;Update on housing application;Following up on the status of my housing application.;2020/11/16
23;123;4;No recycling collection;Recycling bin was not collected this week.;2020/11/30
24;124;1;Water pipe burst near my home;Another water pipe burst in the neighborhood.;2020/12/08
25;125;7;Damaged playground equipment;The swing set in the park is broken.;2020/12/22
26;126;8;Illegal business operating from home;A neighbor is running a loud workshop from their garage.;2021/01/11
27;127;5;Streetlight flickering;The streetlight on my street flickers constantly.;2021/01/25
28;128;3;New housing application;Applying for a new unit for my parents.;2021/02/14
29;129;4;Bin missing after collection;My waste bin was not returned after collection.;2021/03/01
30;130;2;Small cracks in the road;Small cracks are appearing on the street surface.;2021/03/18
31;131;1;Leaky fire hydrant;A fire hydrant is leaking on the sidewalk.;2021/04/02
32;132;10;Loud dog barking;My neighbor's dog barks constantly, day and night.;2021/04/19
33;133;6;Flu shot appointment;Booking an appointment for a seasonal flu shot.;2021/05/06
34;134;2;Pothole causing near-accidents;The pothole is deep and in a dangerous spot.;2021/05/23
35;135;5;Several streetlights out;Three consecutive streetlights are not working.;2021/06/11
